"StichtagDatJahr","KreisSort","KreisCd","KreisLang","AnzBestWir"
1993,1,"1","Kreis 1",5961
1993,2,"2","Kreis 2",28607
1993,3,"3","Kreis 3",46340
1993,4,"4","Kreis 4",28300
1993,5,"5","Kreis 5",11495
1993,6,"6","Kreis 6",30579
1993,7,"7","Kreis 7",33788
1993,8,"8","Kreis 8",15833
1993,9,"9","Kreis 9",45003
1993,10,"10","Kreis 10",35092
1993,11,"11","Kreis 11",52419
1993,12,"12","Kreis 12",27481
1994,1,"1","Kreis 1",5827
1994,2,"2","Kreis 2",28622
1994,3,"3","Kreis 3",46585
1994,4,"4","Kreis 4",28124
1994,5,"5","Kreis 5",11369
1994,6,"6","Kreis 6",30743
1994,7,"7","Kreis 7",33725
1994,8,"8","Kreis 8",15798
1994,9,"9","Kreis 9",44775
1994,10,"10","Kreis 10",35241
1994,11,"11","Kreis 11",52474
1994,12,"12","Kreis 12",27565
1995,1,"1","Kreis 1",5934
1995,2,"2","Kreis 2",28739
1995,3,"3","Kreis 3",46327
1995,4,"4","Kreis 4",27829
1995,5,"5","Kreis 5",11460
1995,6,"6","Kreis 6",30477
1995,7,"7","Kreis 7",33771
1995,8,"8","Kreis 8",15763
1995,9,"9","Kreis 9",44631
1995,10,"10","Kreis 10",35323
1995,11,"11","Kreis 11",52887
1995,12,"12","Kreis 12",27685
1996,1,"1","Kreis 1",5856
1996,2,"2","Kreis 2",28552
1996,3,"3","Kreis 3",46095
1996,4,"4","Kreis 4",27634
1996,5,"5","Kreis 5",11341
1996,6,"6","Kreis 6",30428
1996,7,"7","Kreis 7",33876
1996,8,"8","Kreis 8",15692
1996,9,"9","Kreis 9",44365
1996,10,"10","Kreis 10",35735
1996,11,"11","Kreis 11",52559
1996,12,"12","Kreis 12",27515
1997,1,"1","Kreis 1",5866
1997,2,"2","Kreis 2",28468
1997,3,"3","Kreis 3",46123
1997,4,"4","Kreis 4",27292
1997,5,"5","Kreis 5",11147
1997,6,"6","Kreis 6",30275
1997,7,"7","Kreis 7",33753
1997,8,"8","Kreis 8",15428
1997,9,"9","Kreis 9",44293
1997,10,"10","Kreis 10",35610
1997,11,"11","Kreis 11",52661
1997,12,"12","Kreis 12",27678
1998,1,"1","Kreis 1",5867
1998,2,"2","Kreis 2",28595
1998,3,"3","Kreis 3",46022
1998,4,"4","Kreis 4",27183
1998,5,"5","Kreis 5",11043
1998,6,"6","Kreis 6",30173
1998,7,"7","Kreis 7",33767
1998,8,"8","Kreis 8",15364
1998,9,"9","Kreis 9",44204
1998,10,"10","Kreis 10",35697
1998,11,"11","Kreis 11",53401
1998,12,"12","Kreis 12",27757
1999,1,"1","Kreis 1",5872
1999,2,"2","Kreis 2",28680
1999,3,"3","Kreis 3",45899
1999,4,"4","Kreis 4",27287
1999,5,"5","Kreis 5",11547
1999,6,"6","Kreis 6",29980
1999,7,"7","Kreis 7",33996
1999,8,"8","Kreis 8",15296
1999,9,"9","Kreis 9",44269
1999,10,"10","Kreis 10",36090
1999,11,"11","Kreis 11",53725
1999,12,"12","Kreis 12",28063
2000,1,"1","Kreis 1",5786
2000,2,"2","Kreis 2",28935
2000,3,"3","Kreis 3",45648
2000,4,"4","Kreis 4",27029
2000,5,"5","Kreis 5",11753
2000,6,"6","Kreis 6",29797
2000,7,"7","Kreis 7",33717
2000,8,"8","Kreis 8",15338
2000,9,"9","Kreis 9",44619
2000,10,"10","Kreis 10",36127
2000,11,"11","Kreis 11",54133
2000,12,"12","Kreis 12",28098
2001,1,"1","Kreis 1",5696
2001,2,"2","Kreis 2",28698
2001,3,"3","Kreis 3",45438
2001,4,"4","Kreis 4",26955
2001,5,"5","Kreis 5",11968
2001,6,"6","Kreis 6",29595
2001,7,"7","Kreis 7",33676
2001,8,"8","Kreis 8",15327
2001,9,"9","Kreis 9",45397
2001,10,"10","Kreis 10",36155
2001,11,"11","Kreis 11",55019
2001,12,"12","Kreis 12",28118
2002,1,"1","Kreis 1",5715
2002,2,"2","Kreis 2",28731
2002,3,"3","Kreis 3",45730
2002,4,"4","Kreis 4",27153
2002,5,"5","Kreis 5",12416
2002,6,"6","Kreis 6",29588
2002,7,"7","Kreis 7",33442
2002,8,"8","Kreis 8",15348
2002,9,"9","Kreis 9",45445
2002,10,"10","Kreis 10",36065
2002,11,"11","Kreis 11",56455
2002,12,"12","Kreis 12",28470
2003,1,"1","Kreis 1",5700
2003,2,"2","Kreis 2",28526
2003,3,"3","Kreis 3",45509
2003,4,"4","Kreis 4",26909
2003,5,"5","Kreis 5",12246
2003,6,"6","Kreis 6",29571
2003,7,"7","Kreis 7",33417
2003,8,"8","Kreis 8",15177
2003,9,"9","Kreis 9",45341
2003,10,"10","Kreis 10",36286
2003,11,"11","Kreis 11",57442
2003,12,"12","Kreis 12",28404
2004,1,"1","Kreis 1",5630
2004,2,"2","Kreis 2",28486
2004,3,"3","Kreis 3",45444
2004,4,"4","Kreis 4",26886
2004,5,"5","Kreis 5",12397
2004,6,"6","Kreis 6",29288
2004,7,"7","Kreis 7",33728
2004,8,"8","Kreis 8",15310
2004,9,"9","Kreis 9",45455
2004,10,"10","Kreis 10",36284
2004,11,"11","Kreis 11",57762
2004,12,"12","Kreis 12",28307
2005,1,"1","Kreis 1",5572
2005,2,"2","Kreis 2",28834
2005,3,"3","Kreis 3",45885
2005,4,"4","Kreis 4",26961
2005,5,"5","Kreis 5",12417
2005,6,"6","Kreis 6",29415
2005,7,"7","Kreis 7",34148
2005,8,"8","Kreis 8",15343
2005,9,"9","Kreis 9",45504
2005,10,"10","Kreis 10",36219
2005,11,"11","Kreis 11",58275
2005,12,"12","Kreis 12",28236
2006,1,"1","Kreis 1",5608
2006,2,"2","Kreis 2",28898
2006,3,"3","Kreis 3",45887
2006,4,"4","Kreis 4",26705
2006,5,"5","Kreis 5",12722
2006,6,"6","Kreis 6",29657
2006,7,"7","Kreis 7",34421
2006,8,"8","Kreis 8",15207
