"Periodestart_noDM","Periodeende_noDM","FuenfjahresPeriode_noDM","DatenstandCd","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","EigentuemerSSZPubl1Sort","EigentuemerSSZPubl1Cd","EigentuemerSSZPubl1Lang","MietwohnungSort","MietwohnungCd","MietwohnungLang","HHtypPubl1Sort_noDM","HHtypPubl1Cd_noDM","HHtypPubl1Lang_noDM","AnzWhgStat","Wohnflaeche","AnzBestWir","AnzRentner","AnzKinder"
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","1-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",1,"1","1 Person im Erwerbsalter",14,694,14,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","1-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",3,"3","1 Person im Rentenalter",3,148,3,3,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","1-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",1,"1","1 Person im Erwerbsalter",2,91,2,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","1-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",4,"4","2 Personen, davon mindestens eine im Rentenalter",1,30,2,1,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","1-Zimmer",4,"4","Natürliche Personen",1,"J","Ja",1,"1","1 Person im Erwerbsalter",1,112,1,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","1-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",1,"1","1 Person im Erwerbsalter",1,36,1,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",1,"1","1 Person im Erwerbsalter",57,3541,57,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",2,"2","2 Personen im Erwerbsalter",16,1014,32,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",3,"3","1 Person im Rentenalter",45,2785,45,45,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",4,"4","2 Personen, davon mindestens eine im Rentenalter",3,199,6,5,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",2,"2","Wohnbaugenossenschaften",1,"J","Ja",5,"5","2 Erwachsene mit 1 Kind",2,126,6,0,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",1,"1","1 Person im Erwerbsalter",69,4650,69,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",2,"2","2 Personen im Erwerbsalter",33,2213,66,0,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",3,"3","1 Person im Rentenalter",2,158,2,2,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",4,"4","2 Personen, davon mindestens eine im Rentenalter",2,133,4,4,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",5,"5","2 Erwachsene mit 1 Kind",1,74,3,0,1
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",3,"3","Übrige private Gesellschaften",1,"J","Ja",6,"6","2 Erwachsene mit 2 Kindern",1,132,4,0,2
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",4,"4","Natürliche Personen",1,"J","Ja",4,"4","2 Personen, davon mindestens eine im Rentenalter",1,64,2,1,0
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",4,"4","Natürliche Personen",1,"J","Ja",5,"5","2 Erwachsene mit 1 Kind",1,64,3,0,1
2015,2019,"2015–2019","D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","2-Zimmer",5,"5","Im Stockwerkeigentum",1,"J","Ja",1,"1","1 Person im Erwerbsalter",4,296,4,0,0
